movieid	itemtitle	no_user
1152	In Love and War (1996)	28
1129	Chungking Express (1994)	28
1411	Barbarella (1968)	28
972	Passion Fish (1992)	28
1109	Death and the Maiden (1994)	28
905	Great Expectations (1998)	27
564	Tales from the Hood (1995)	27
681	Wishmaster (1997)	27
613	My Man Godfrey (1936)	27
348	Desperate Measures (1998)	27
842	Pollyanna (1960)	27
978	Heaven's Prisoners (1996)	27
389	Black Beauty (1994)	27
805	Manhattan Murder Mystery (1993)	27
457	Free Willy 3: The Rescue (1997)	27
464	Vanya on 42nd Street (1994)	27
645	Paris Is Burning (1990)	27
734	Made in America (1993)	27
1070	Living in Oblivion (1995)	27
1170	Spanking the Monkey (1994)	27
1034	Quest, The (1996)	27
46	Exotica (1994)	27
1149	Walkabout (1971)	26
253	Pillow Book, The (1995)	26
966	Affair to Remember, An (1957)	26
1218	Friday (1995)	26
398	Super Mario Bros. (1993)	26
1284	Before and After (1996)	26
352	Spice World (1997)	26
1160	Love! Valour! Compassion! (1997)	26
1240	Ghost in the Shell (Kokaku kidotai) (1995)	26
836	Ninotchka (1939)	26
800	In the Mouth of Madness (1995)	26
775	Something to Talk About (1995)	26
422	Aladdin and the King of Thieves (1996)	26
6	Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)	26
818	Girl 6 (1996)	25
960	Naked (1993)	25
1045	Fearless (1993)	25
991	Keys to Tulsa (1997)	25
1222	Judgment Night (1993)	25
1049	House Arrest (1996)	25
1052	Dracula: Dead and Loving It (1995)	25
1163	Portrait of a Lady, The (1996)	25
1157	Relic, The (1997)	25
837	Meet John Doe (1941)	25
834	Halloween: The Curse of Michael Myers (1995)	25
938	Smile Like Yours, A (1997)	25
1040	Two if by Sea (1996)	25
415	Apple Dumpling Gang, The (1975)	25
1036	Drop Dead Fred (1991)	24
753	Burnt By the Sun (1994)	24
704	House of the Spirits, The (1993)	24
459	Cry, the Beloved Country (1995)	24
869	Fools Rush In (1997)	24
551	Lord of Illusions (1995)	24
863	Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)	24
1053	Now and Then (1995)	24
376	Houseguest (1994)	24
634	Microcosmos: Le peuple de l'herbe (1996)	24
730	Queen Margot (Reine Margot, La) (1994)	24
1037	Grease 2 (1982)	24
375	Showgirls (1995)	23
1054	Mr. Wrong (1996)	23
635	Fog, The (1980)	23
1258	Trial and Error (1997)	23
962	Ruby in Paradise (1993)	23
986	Turbulence (1997)	23
149	Jude (1996)	23
130	Kansas City (1996)	23
1315	Inventing the Abbotts (1997)	23
1093	Live Nude Girls (1995)	23
1006	Until the End of the World (Bis ans Ende der Welt) (1991)	23
1199	Cemetery Man (Dellamorte Dellamore) (1994)	23
1057	Pallbearer, The (1996)	22
445	Body Snatcher, The (1945)	22
832	Bogus (1996)	22
980	Mother Night (1996)	22
1078	Oliver & Company (1988)	22
532	Kama Sutra: A Tale of Love (1996)	22
953	Unstrung Heroes (1995)	22
1176	Welcome To Sarajevo (1997)	22
1113	Mrs. Parker and the Vicious Circle (1994)	22
560	Kid in King Arthur's Court, A (1995)	22
1168	Little Buddha (1993)	22
565	Village of the Damned (1995)	22
624	Three Caballeros, The (1945)	22
821	Mrs. Winterbourne (1996)	22
1005	Double vie de V�ronique, La (Double Life of Veronique, The) (1991)	22
985	Blood & Wine (1997)	22
1231	Marked for Death (1990)	22
1086	It's My Party (1995)	21
758	Lawnmower Man 2: Beyond Cyberspace (1996)	21
1121	Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)	21
1147	My Family (1995)	21
933	Funeral, The (1996)	21
816	Candyman: Farewell to the Flesh (1995)	21
335	How to Be a Player (1997)	21
543	Mis�rables, Les (1995)	21
1203	Top Hat (1935)	21
1084	Anne Frank Remembered (1995)	21
906	Oscar & Lucinda (1997)	21
865	Ice Storm, The (1997)	21
965	Funny Face (1957)	21
795	Richie Rich (1994)	21
112	Flipper (1996)	20
1208	Kiss of Death (1995)	20
351	Prophecy II, The (1998)	20
1219	Goofy Movie, A (1995)	20
904	Ma vie en rose (My Life in Pink) (1997)	20
1407	Specialist, The (1994)	20
320	Paradise Lost: The Child Murders at Robin Hood Hills (1996)	20
908	Half Baked (1998)	20
1296	Indian Summer (1996)	20
982	Maximum Risk (1996)	20
601	For Whom the Bell Tolls (1943)	20
1030	Beverly Hillbillies, The (1993)	20
1265	Star Maps (1997)	19
1153	Backbeat (1993)	19
1117	Surviving Picasso (1996)	19
1248	Blink (1994)	19
1178	Major Payne (1994)	19
1283	Out to Sea (1997)	19
1183	Cowboy Way, The (1994)	19
1206	Amos & Andrew (1993)	19
894	Home Alone 3 (1997)	19
138	D3: The Mighty Ducks (1996)	19
1245	Gridlock'd (1997)	19
424	Children of the Corn: The Gathering (1996)	19
1444	That Darn Cat! (1965)	19
703	Widows' Peak (1994)	19
579	Fatal Instinct (1993)	19
1277	Set It Off (1996)	19
263	Steel (1997)	19
1103	Trust (1990)	19
968	Inspector General, The (1949)	18
1185	In the Army Now (1994)	18
811	Thirty-Two Short Films About Glenn Gould (1993)	18
812	Andre (1994)	18
590	Hellraiser: Bloodline (1996)	18
1239	Cutthroat Island (1995)	18
400	Little Rascals, The (1994)	18
1107	Beyond Rangoon (1995)	18
1478	Dead Presidents (1995)	18
1204	To Be or Not to Be (1942)	18
618	Picnic (1955)	18
1069	Amateur (1994)	18
359	Assignment, The (1997)	18
916	Lost in Space (1998)	18
84	Robert A. Heinlein's The Puppet Masters (1994)	18
617	Blue Angel, The (Blaue Engel, Der) (1930)	18
1097	Hate (Haine, La) (1995)	18
862	Jingle All the Way (1996)	18
1230	Ready to Wear (Pret-A-Porter) (1994)	18
1105	Firestorm (1998)	18
1401	M. Butterfly (1993)	18
337	House of Yes, The (1997)	18
1303	Getaway, The (1994)	18
903	Afterglow (1997)	18
1120	I'm Not Rappaport (1996)	17
1232	Madonna: Truth or Dare (1991)	17
1001	Stupids, The (1996)	17
557	Farinelli: il castrato (1994)	17
947	Big Blue, The (Grand bleu, Le) (1988)	17
773	Mute Witness (1994)	17
1140	Road to Wellville, The (1994)	17
1038	Switchback (1997)	17
1286	Shall We Dance? (1937)	17
1207	Jade (1995)	17
1419	Highlander III: The Sorcerer (1994)	16
1066	Balto (1995)	16
860	Believers, The (1987)	16
256	When the Cats Away (Chacun cherche son chat) (1996)	16
854	Bad Taste (1987)	16
801	Air Up There, The (1994)	16
453	Jaws 3-D (1983)	16
454	Bastard Out of Carolina (1996)	16
997	Stuart Saves His Family (1995)	16
998	Cabin Boy (1994)	16
745	Ruling Class, The (1972)	16
1280	Gang Related (1997)	16
1278	Selena (1997)	16
725	Exit to Eden (1994)	16
718	In the Bleak Midwinter (1995)	16
691	Dark City (1998)	16
1032	Little Big League (1994)	16
1071	Party Girl (1995)	16
1311	Waiting to Exhale (1995)	16
700	Miami Rhapsody (1995)	15
1273	Color of Night (1994)	15
835	Gay Divorcee, The (1934)	15
1058	War, The (1994)	15
533	Daytrippers, The (1996)	15
859	April Fool's Day (1986)	15
1112	Cobb (1994)	15
733	Go Fish (1994)	15
1263	Foxfire (1996)	15
888	One Night Stand (1997)	15
103	All Dogs Go to Heaven 2 (1996)	15
1285	Princess Caraboo (1994)	15
1451	Foreign Correspondent (1940)	15
1446	Bye Bye, Love (1995)	15
1291	Celtic Pride (1996)	15
1209	Mixed Nuts (1994)	15
115	Haunted World of Edward D. Wood Jr., The (1995)	15
1143	Hard Eight (1996)	15
574	Boxing Helena (1993)	15
1172	Women, The (1939)	15
1024	Mrs. Dalloway (1997)	15
983	Rich Man's Wife, The (1996)	15
996	Big Green, The (1995)	14
353	Deep Rising (1998)	14
786	Perez Family, The (1995)	14
958	To Live (Huozhe) (1994)	14
1171	Wild Reeds (1994)	14
587	Hour of the Pig, The (1993)	14
1029	Jury Duty (1995)	14
1225	Angus (1995)	14
440	Amityville II: The Possession (1982)	14
1165	Big Bully (1996)	14
726	Fluke (1995)	14
893	For Richer or Poorer (1997)	14
853	Braindead (1992)	14
1313	Palmetto (1998)	14
915	Primary Colors (1998)	13
1182	Cops and Robbersons (1994)	13
36	Mad Love (1995)	13
669	Body Parts (1991)	13
695	Kicking and Screaming (1995)	13
1404	Withnail and I (1987)	13
534	Traveller (1997)	13
714	Carrington (1995)	13
1161	Palookaville (1996)	13
1281	Manny & Lo (1996)	13
787	Roommates (1995)	13
1131	Safe (1995)	13
1128	Heidi Fleiss: Hollywood Madam (1995) 	13
828	Alaska (1996)	13
377	Heavyweights (1994)	13
1088	Double Team (1997)	13
1116	Mark of Zorro, The (1940)	13
883	Telling Lies in America (1997)	13
885	Phantoms (1998)	13
1229	Poison Ivy II (1995)	13
889	Tango Lesson, The (1997)	13
909	Dangerous Beauty (1998)	13
1099	Red Firecracker, Green Firecracker (1994)	13
1192	Boys of St. Vincent, The (1993)	13
1187	Switchblade Sisters (1975)	13
1062	Four Days in September (1997)	12
1076	Pagemaster, The (1994)	12
1015	Shiloh (1997)	12
976	Solo (1996)	12
967	Little Lord Fauntleroy (1936)	12
1092	Dear God (1996)	12
1094	Thin Line Between Love and Hate, A (1996)	12
901	Mr. Magoo (1997)	12
1124	Farewell to Arms, A (1932)	12
1154	Alphaville (1965)	12
1166	Love & Human Remains (1993)	12
667	Audrey Rose (1977)	12
1211	Blue Sky (1994)	12
1224	Scout, The (1994)	12
593	Stalingrad (1993)	12
1249	For Love or Money (1993)	12
556	Wild Bill (1995)	12
548	NeverEnding Story III, The (1994)	12
545	Vampire in Brooklyn (1995)	12
1266	Bread and Chocolate (Pane e cioccolata) (1973)	12
1297	Love Affair (1994)	12
397	Striking Distance (1993)	12
394	Radioland Murders (1994)	12
1428	SubUrbia (1997)	12
1469	Tom and Huck (1995)	12
1483	Man in the Iron Mask, The (1998)	12
1518	Losing Isaiah (1995)	12
1068	Star Maker, The (Uomo delle stelle, L') (1995)	12
1127	Truman Show, The (1998)	11
35	Free Willy 2: The Adventure Home (1995)	11
759	Fair Game (1995)	11
1195	Strawberry and Chocolate (Fresa y chocolate) (1993)	11
1480	Herbie Rides Again (1974)	11
1254	Gone Fishin' (1997)	11
1335	American Buffalo (1996)	11
1190	That Old Feeling (1997)	11
1085	Carried Away (1996)	11
914	Wild Things (1998)	11
1314	Surviving the Game (1994)	11
621	Davy Crockett, King of the Wild Frontier (1955)	11
1159	Stalker (1979)	11
1274	Robocop 3 (1993)	11
1167	Sum of Us, The (1994)	11
954	Unzipped (1995)	11
767	Addiction, The (1995)	11
1421	My Crazy Life (Mi vida loca) (1993)	11
341	Critical Care (1997)	11
374	Mighty Morphin Power Rangers: The Movie (1995)	11
1056	Cronos (1992)	10
1087	Bloodsport 2 (1995)	10
782	Little Odessa (1994)	10
1055	Simple Twist of Fate, A (1994)	10
1336	Kazaam (1996)	10
791	Baby-Sitters Club, The (1995)	10
793	Crooklyn (1994)	10
555	White Man's Burden (1995)	10
390	Fear of a Black Hat (1993)	10
1184	Endless Summer 2, The (1994)	10
1181	Low Down Dirty Shame, A (1994)	10
1180	I Love Trouble (1994)	10
698	Browning Version, The (1994)	10
536	Ponette (1996)	10
701	Wonderful, Horrible Life of Leni Riefenstahl, The (1993)	10
1400	Picture Bride (1995)	10
1615	Warriors of Virtue (1997)	10
1169	Fresh (1994)	10
1268	Bitter Moon (1992)	10
1269	Love in the Afternoon (1957)	10
1425	I'll Do Anything (1994)	10
1000	Lightning Jack (1994)	10
1114	Faithful (1996)	10
360	Wonderland (1997)	10
1434	Shooting Fish (1997)	10
999	Clean Slate (1994)	10
361	Incognito (1997)	10
146	Unhook the Stars (1996)	10
1375	Cement Garden, The (1993)	10
1540	Amazing Panda Adventure, The (1995)	10
1193	Before the Rain (Pred dozhdot) (1994)	10
18	White Balloon, The (1995)	10
1503	Gold Diggers: The Secret of Bear Mountain (1995)	10
1437	House Party 3 (1994)	9
776	Three Wishes (1995)	9
848	Murder, My Sweet (1944)	9
267	unknown	9
1279	Wild America (1997)	9
1004	Geronimo: An American Legend (1993)	9
592	True Crime (1995)	9
1252	Contempt (M�pris, Le) (1963)	9
798	Bad Company (1995)	9
803	Heaven & Earth (1993)	9
899	Winter Guest, The (1997)	9
964	Month by the Lake, A (1995)	9
446	Burnt Offerings (1976)	9
1393	Stag (1997)	9
1282	Grass Harp, The (1995)	9
1214	In the Realm of the Senses (Ai no corrida) (1976)	9
912	U.S. Marshalls (1998)	9
1141	War Room, The (1993)	9
1150	Last Dance (1996)	9
1298	Band Wagon, The (1953)	9
1148	Tom & Viv (1994)	9
1300	'Til There Was You (1997)	9
1620	Sixth Man, The (1997)	9
1179	Man of the House (1995)	9
807	Poetic Justice (1993)	9
1337	Larger Than Life (1996)	9
1473	Little Princess, The (1939)	9
870	Touch (1997)	9
1415	Next Karate Kid, The (1994)	9
1471	Hideaway (1995)	9
1145	Blue Chips (1994)	9
766	Man of the Year (1995)	9
113	Horseman on the Roof, The (Hussard sur le toit, Le) (1995)	9
1262	Walking and Talking (1996)	8
1174	Caught (1996)	8
970	Hear My Song (1991)	8
804	Jimmy Hollywood (1994)	8
1413	Street Fighter (1994)	8
1439	Jason's Lyric (1994)	8
1381	Losing Chase (1996)	8
1077	Love and a .45 (1994)	8
1426	Grace of My Heart (1996)	8
1276	Sunset Park (1996)	8
1227	Awfully Big Adventure, An (1995)	8
1003	That Darn Cat! (1997)	8
1002	Pest, The (1997)	8
1234	Chairman of the Board (1998)	8
1475	Bhaji on the Beach (1993)	8
1524	Kaspar Hauser (1993)	8
1479	Reckless (1995)	8
1043	Rent-a-Kid (1995)	8
1100	What Happened Was... (1994)	8
1449	Pather Panchali (1955)	8
1202	Maybe, Maybe Not (Bewegte Mann, Der) (1994)	8
1251	A Chef in Love (1996)	8
1255	Broken English (1996)	8
37	Nadja (1994)	8
1081	Curdled (1996)	8
1238	Full Speed (1996)	8
1299	Penny Serenade (1941)	8
1082	Female Perversions (1996)	8
981	Dangerous Ground (1997)	8
918	City of Angels (1998)	8
1376	Meet Wally Sparks (1997)	7
1379	Love and Other Catastrophes (1996)	7
884	Year of the Horse (1997)	7
1111	Double Happiness (1994)	7
1075	Man of No Importance, A (1994)	7
34	Doom Generation, The (1995)	7
1253	Tie That Binds, The (1995)	7
1031	Lassie (1994)	7
74	Faster Pussycat! Kill! Kill! (1965)	7
1177	Dunston Checks In (1996)	7
1264	Nothing to Lose (1994)	7
1173	Bliss (1997)	7
1270	Life with Mikey (1993)	7
1271	North (1994)	7
1151	Original Gangstas (1996)	7
1288	Denise Calls Up (1995)	7
1289	Jack and Sarah (1995)	7
994	Last Time I Committed Suicide, The (1997)	7
1294	Ayn Rand: A Sense of Life (1997)	7
1295	Kicked in the Head (1997)	7
1243	Night Flier (1997)	7
1305	National Lampoon's Senior Trip (1995)	7
1531	Far From Home: The Adventures of Yellow Dog (1995)	7
1527	Senseless (1998)	7
1312	Pompatus of Love, The (1996)	7
1316	Horse Whisperer, The (1998)	7
1522	Trial by Jury (1994)	7
1514	Dream With the Fishes (1997)	7
1462	Thieves (Voleurs, Les) (1996)	7
1459	Madame Butterfly (1995)	7
1456	Beat the Devil (1954)	7
935	Paradise Road (1997)	7
1200	Kim (1950)	7
1198	Purple Noon (1960)	7
1246	Bushwhacked (1995)	7
1441	Moonlight and Valentino (1995)	7
1435	Steal Big, Steal Little (1995)	7
1072	Pyromaniac's Love Story, A (1995)	7
1102	Two Much (1996)	7
917	Mercury Rising (1998)	7
1409	Swan Princess, The (1994)	7
1399	Stranger in the House (1997)	7
1394	Swept from the Sea (1997)	7
1558	Aparajito (1956)	7
927	Flower of My Secret, The (Flor de mi secreto, La) (1995)	6
1233	N�nette et Boni (1996)	6
1322	Metisse (Caf� au Lait) (1993)	6
867	Whole Wide World, The (1996)	6
1512	World of Apu, The (Apur Sansar) (1959)	6
1534	Twin Town (1997)	6
891	Bent (1997)	6
1241	Van, The (1996)	6
1213	Guilty as Sin (1993)	6
1591	Duoluo tianshi (1995)	6
1355	Infinity (1996)	6
1287	Ed (1996)	6
1380	Hollow Reed (1996)	6
296	Promesse, La (1996)	6
1598	City of Industry (1997)	6
1164	Zeus and Roxanne (1997)	6
1083	Albino Alligator (1996)	6
1388	Gabbeh (1996)	6
1216	Kissed (1996)	6
706	Bad Moon (1996)	6
1250	Best of the Best 3: No Turning Back (1995)	6
1412	Land Before Time III: The Time of the Great Giving (1995) (V)	6
1395	Hurricane Streets (1998)	6
668	Blood Beach (1981)	6
438	Amityville 3-D (1983)	6
1205	Secret Agent, The (1996)	6
1466	Margaret's Museum (1995)	6
1468	Cure, The (1995)	6
1247	Bad Girls (1994)	6
1328	Of Love and Shadows (1994)	6
1237	Twisted (1996)	6
1474	Nina Takes a Lover (1994)	6
1454	Angel and the Badman (1947)	6
1383	Second Jungle Book: Mowgli & Baloo, The (1997)	6
1368	Mina Tannenbaum (1994)	6
1326	Boys (1996)	6
1405	Boy's Life 2 (1997)	6
1386	Tetsuo II: Body Hammer (1992)	6
1212	Flesh and Bone (1993)	6
1431	Legal Deceit (1997)	5
1242	Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)	5
666	Blood For Dracula (Andy Warhol's Dracula) (1974)	5
1175	Hugo Pool (1997)	5
1272	Talking About Sex (1994)	5
1162	Phat Beach (1996)	5
1301	Stripes (1981)	5
1302	Late Bloomers (1996)	5
1324	Loaded (1994)	5
1138	Best Men (1997)	5
1333	Midnight Dancers (Sibak) (1994)	5
439	Amityville: A New Generation (1993)	5
437	Amityville 1992: It's About Time (1992)	5
1344	Story of Xinghua, The (1993)	5
799	Boys Life (1995)	5
1346	Dingo (1992)	5
1353	1-900 (1994)	5
1367	Faust (1994)	5
1378	Rhyme & Reason (1997)	5
1385	Roseanna's Grave (For Roseanna) (1997)	5
868	Hearts and Minds (1996)	5
1108	Feast of July (1995)	5
1392	Locusts, The (1997)	5
1396	Stonewall (1995)	5
1397	Of Human Bondage (1934)	5
1406	When Night Is Falling (1995)	5
314	3 Ninjas: High Noon At Mega Mountain (1998)	5
1416	No Escape (1994)	5
920	Two Bits (1995)	5
1427	Drunks (1995)	5
1438	Panther (1995)	5
1440	Above the Rim (1994)	5
1442	Scarlet Letter, The (1995)	5
247	Turbo: A Power Rangers Movie (1997)	5
1470	Gumby: The Movie (1995)	5
1487	Even Cowgirls Get the Blues (1993)	5
1489	Chasers (1994)	5
1495	Flirt (1995)	5
1496	Carpool (1996)	5
1501	Prisoner of the Mountains (Kavkazsky Plennik) (1996)	5
1509	Getting Even with Dad (1994)	5
1511	Children of the Revolution (1996)	5
1517	Race the Sun (1996)	5
1529	Underground (1995)	5
1530	Jefferson in Paris (1995)	5
1555	Secret Adventures of Tom Thumb, The (1993)	5
1592	Magic Hour, The (1998)	5
104	Theodore Rex (1995)	5
1597	Romper Stomper (1992)	5
75	Brother Minister: The Assassination of Malcolm X (1994)	5
594	Heavy (1995)	5
1317	Journey of August King, The (1995)	4
1521	Mr. Wonderful (1993)	4
1064	Crossfire (1947)	4
1319	Neon Bible, The (1995)	4
1223	King of the Hill (1993)	4
1499	Grosse Fatigue (1994)	4
1488	Germinal (1993)	4
987	Underworld (1997)	4
1485	Colonel Chabert, Le (1994)	4
777	Castle Freak (1995)	4
1338	Two Deaths (1995)	4
1330	An Unforgettable Summer (1994)	4
1331	Last Klezmer: Leopold Kozlowski, His Life and Music, The (1995)	4
442	Amityville Curse, The (1990)	4
973	Grateful Dead (1995)	4
1125	Innocents, The (1961)	4
1410	Harlem (1993)	4
839	Loch Ness (1995)	4
850	Perfect Candidate, A (1996)	4
1382	Bonheur, Le (1965)	4
851	Two or Three Things I Know About Her (1966)	4
1026	Lay of the Land, The (1997)	4
1643	Angel Baby (1995)	4
1628	Lamerica (1994)	4
1257	Designated Mourner, The (1997)	4
910	Nil By Mouth (1997)	4
626	So Dear to My Heart (1949)	4
1104	C'est arriv� pr�s de chez vous (1992)	4
1259	Pie in the Sky (1995)	4
911	Twilight (1998)	4
1260	Total Eclipse (1995)	4
1422	Suture (1993)	4
1423	Walking Dead, The (1995)	4
1402	Ciao, Professore! (1993)	4
1612	Leading Man, The (1996)	4
1608	Buddy (1997)	4
1664	8 Heads in a Duffel Bag (1997)	4
1605	Love Serenade (1996)	4
1403	Caro Diario (Dear Diary) (1994)	4
1429	Sliding Doors (1998)	4
1261	Run of the Country, The (1995)	4
1369	Forbidden Christ, The (Cristo proibito, Il) (1950)	4
1377	Hotel de Love (1996)	4
1600	Guantanamera (1994)	4
1275	Killer (Bulletproof Heart) (1994)	4
643	The Innocent (1994)	4
1158	Fille seule, La (A Single Girl) (1995)	4
1106	Newton Boys, The (1998)	4
1589	Schizopolis (1996)	4
119	Maya Lin: A Strong Clear Vision (1994)	4
757	Across the Sea of Time (1995)	4
992	Head Above Water (1996)	4
1560	Clean Slate (Coup de Torchon) (1981)	4
1443	8 Seconds (1994)	4
1553	Underneath, The (1995)	4
1347	Ballad of Narayama, The (Narayama Bushiko) (1958)	4
1445	Ladybird Ladybird (1994)	4
838	In the Line of Duty 2 (1987)	4
1545	Frankie Starlight (1995)	4
822	Faces (1968)	4
1539	Being Human (1993)	4
1537	Cosi (1996)	4
1535	Enfer, L' (1994)	4
598	Big Squeeze, The (1996)	4
1658	Substance of Fire, The (1996)	3
1370	I Can't Sleep (J'ai pas sommeil) (1994)	3
1408	Gordy (1995)	3
817	Frisk (1995)	3
1361	Search for One-eye Jimmy, The (1996)	3
1418	Joy Luck Club, The (1993)	3
1420	Gilligan's Island: The Movie (1998)	3
1424	I Like It Like That (1994)	3
1357	For the Moment (1994)	3
1430	Ill Gotten Gains (1997)	3
1356	Ed's Next Move (1996)	3
1432	Mighty, The (1998)	3
1351	Lover's Knot (1996)	3
1096	Commandments (1997)	3
1448	My Favorite Season (1993)	3
1463	Boys, Les (1997)	3
1464	Stars Fell on Henrietta, The (1995)	3
1465	Last Summer in the Hamptons (1995)	3
1191	Letter From Death Row, A (1998)	3
788	Relative Fear (1994)	3
1327	Captives (1994)	3
1323	Wooden Man's Bride, The (Wu Kui) (1994)	3
1484	Jerky Boys, The (1994)	3
1490	Fausto (1993)	3
1504	Bewegte Mann, Der (1994)	3
1506	Nelly & Monsieur Arnaud (1995)	3
1508	Babysitter, The (1995)	3
1513	Sprung (1997)	3
1318	Catwalk (1995)	3
1516	Wedding Gift, The (1994)	3
1528	Nowhere (1997)	3
1196	Savage Nights (Nuits fauves, Les) (1992)	3
1538	All Over Me (1997)	3
1544	It Takes Two (1995)	3
1552	Hunted, The (1995)	3
1293	Star Kid (1997)	3
1292	Simple Wish, A (1997)	3
1144	Quiet Room, The (1996)	3
1146	Calendar Girl (1993)	3
1155	Rendezvous in Paris (Rendez-vous de Paris, Les) (1995)	3
1602	Price Above Rubies, A (1998)	3
1607	Hurricane Streets (1998)	3
1609	B*A*P*S (1997)	3
1610	Truth or Consequences, N.M. (1997)	3
1622	Paris, France (1993)	3
1623	C�r�monie, La (1995)	3
1256	Designated Mourner, The (1997)	3
1639	Bitter Sugar (Azucar Amargo) (1996)	3
1027	Shooter, The (1995)	3
1652	Temptress Moon (Feng Yue) (1996)	3
1186	Inkwell, The (1994)	3
1189	Prefontaine (1997)	3
858	Amityville: Dollhouse (1996)	3
861	Nosferatu a Venezia (1986)	3
1384	Squeeze (1996)	3
1387	Fall (1997)	3
1123	Last Time I Saw Paris, The (1954)	3
1389	Mondo (1996)	3
1391	For Ever Mozart (1996)	3
1372	Stranger, The (1994)	3
1497	Line King: Al Hirschfeld, The (1996)	2
1588	Salut cousin! (1996)	2
1547	Show, The (1995)	2
1500	Santa with Muscles (1996)	2
1590	To Have, or Not (1995)	2
1342	Convent, The (Convento, O) (1995)	2
1662	Rough Magic (1995)	2
1629	Nico Icon (1995)	2
1365	Johnny 100 Pesos (1993)	2
1631	Slingshot, The (1993)	2
1290	Country Life (1994)	2
1549	Dream Man (1995)	2
1550	Destiny Turns on the Radio (1995)	2
1371	Machine, The (1994)	2
1551	Glass Shield, The (1994)	2
1594	Everest (1998)	2
1307	Carmen Miranda: Bananas Is My Business (1994)	2
1519	New Jersey Drive (1995)	2
897	Time Tracers (1995)	2
1502	Naked in New York (1994)	2
600	Daniel Defoe's Robinson Crusoe (1996)	2
1642	Some Mother's Son (1996)	2
1436	Mr. Jones (1993)	2
1644	Sudden Manhattan (1996)	2
1554	Safe Passage (1994)	2
1646	Men With Guns (1997)	2
1354	Venice/Venice (1992)	2
1080	Celestial Clockwork (1994)	2
1573	Spirits of the Dead (Tre passi nel delirio) (1968)	2
1332	My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993)	2
1433	Men of Means (1998)	2
1334	Somebody to Love (1994)	2
1523	Good Man in Africa, A (1994)	2
1656	Little City (1998)	2
1467	Saint of Fort Washington, The (1993)	2
1556	Condition Red (1995)	2
1450	Golden Earrings (1947)	2
1358	The Deadly Cure (1996)	2
1304	New York Cop (1996)	2
907	Vermin (1998)	2
1390	Innocent Sleep, The (1995)	2
1472	Visitors, The (Visiteurs, Les) (1993)	2
784	Beyond Bedlam (1993)	2
1359	Boys in Venice (1996)	2
1578	Collectionneuse, La (1967)	2
1672	Kika (1993)	2
1611	Intimate Relations (1996)	2
1477	Nightwatch (1997)	2
1360	Sexual Life of the Belgians, The (1994)	2
1345	Day the Sun Turned Cold, The (Tianguo niezi) (1994)	2
1321	Open Season (1996)	2
1481	S.F.W. (1994)	2
1306	Delta of Venus (1994)	2
1541	Beans of Egypt, Maine, The (1994)	2
1542	Scarlet Letter, The (1926)	2
957	Pushing Hands (1992)	2
1374	Falling in Love Again (1980)	2
1617	Hugo Pool (1997)	2
1455	Outlaw, The (1943)	2
1585	American Dream (1990)	2
1308	Babyfever (1994)	2
1532	Foreign Student (1994)	2
1491	Tough and Deadly (1995)	2
1350	Crows and Sparrows (1949)	2
1417	Turning, The (1992)	2
1362	American Strays (1996)	2
1398	Anna (1996)	2
913	Love and Death on Long Island (1997)	2
1596	Nemesis 2: Nebula (1995)	1
1320	Homage (1995)	1
1657	Target (1995)	1
1505	Killer: A Journal of Murder (1995)	1
1673	Mirage (1995)	1
1507	Three Lives and Only One Death (1996)	1
1660	Small Faces (1995)	1
1510	Mad Dog Time (1996)	1
1670	Tainted (1998)	1
1677	Sweet Nothing (1995)	1
1654	Chairman of the Board (1998)	1
1681	You So Crazy (1994)	1
1515	Wings of Courage (1995)	1
857	Paris Was a Woman (1995)	1
1678	Mat' i syn (1997)	1
1341	Hedd Wyn (1992)	1
1520	Fear, The (1995)	1
1453	Angel on My Shoulder (1946)	1
1310	Walk in the Sun, A (1945)	1
1525	Object of My Affection, The (1998)	1
1526	Witness (1985)	1
1309	Very Natural Thing, A (1974)	1
1452	Lady of Burlesque (1943)	1
1533	I Don't Want to Talk About It (De eso no se habla) (1993)	1
1343	Lotto Land (1995)	1
1536	Aiqing wansui (1994)	1
852	Bloody Child, The (1996)	1
1543	Johns (1996)	1
1364	Bird of Prey (1996)	1
1447	Century (1993)	1
1546	Shadows (Cienie) (1988)	1
1548	The Courtyard (1995)	1
1661	New Age, The (1994)	1
1348	Every Other Weekend (1990)	1
599	Police Story 4: Project S (Chao ji ji hua) (1993)	1
1557	Yankee Zulu (1994)	1
1559	Hostile Intentions (1994)	1
1667	Next Step, The (1995)	1
1561	Tigrero: A Film That Was Never Made (1994)	1
1349	Mille bolle blu (1993)	1
1562	Eye of Vichy, The (Oeil de Vichy, L') (1993)	1
1563	Promise, The (Versprechen, Das) (1994)	1
1676	War at Home, The (1996)	1
1564	To Cross the Rubicon (1991)	1
1565	Daens (1992)	1
1566	Man from Down Under, The (1943)	1
1567	Careful (1992)	1
1568	Vermont Is For Lovers (1992)	1
1569	Vie est belle, La (Life is Rosey) (1987)	1
1570	Quartier Mozart (1992)	1
